index, timestamp, temp, press, humid, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 17:22:33, 0.00,0.00,0.00,0.00,44330.00,13962,1134,7734,6600,306.395660,0,0,0,0
 
1, 17:22:34, 0.00,0.00,0.00,0.00,44330.00,15324,1134,7736,6602,306.502106,0,0,0,0
 
2, 17:22:35, 0.00,0.00,0.00,0.00,44330.00,16686,1134,7729,6595,306.129486,0,0,0,0
 
3, 17:22:37, 0.00,0.00,0.00,0.00,44330.00,18048,1135,7734,6599,306.302826,0,0,0,0
 
4, 17:22:38, 0.00,0.00,0.00,0.00,44330.00,19410,1133,7728,6595,306.169128,0,0,0,0
 
5, 17:22:39, 0.00,0.00,0.00,0.00,44330.00,20772,1133,7728,6595,306.169128,0,0,0,0
 
6, 17:22:41, 0.00,0.00,0.00,0.00,44330.00,22134,1134,7731,6597,306.235962,0,0,0,0
 
7, 17:22:42, 0.00,0.00,0.00,0.00,44330.00,23496,1133,7726,6593,306.062653,0,0,0,0
 
8, 17:22:43, 0.00,0.00,0.00,0.00,44330.00,24858,1133,7724,6591,305.956207,0,0,0,0
 
9, 17:22:45, 0.00,0.00,0.00,0.00,44330.00,26220,1134,7727,6593,306.023071,0,0,0,0
 
